username,display_name,tweet_text,timestamp,replies,retweets,likes,views,tweet_url,is_retweet,hashtags,mentions,scraped_at
@5656__25,,"isu politik seperti penangkapan Wamenaker Immanuel Ebenezer oleh KPK, perkembangan ekonomi seperti defisit neraca pembayaran Indonesia, serta peristiwa internasional dan olahraga",2025-08-21T09:46:24.000Z,0,0,0.0,56,https://x.com/5656__25/status/1958465702991438267,False,[],[],2025-08-26 13:38:52
@67fitriaNingsih,Fitria Ningsih,"Btw Pak gimana keadaan sesar Lembang udah sampai gedung DPR belum? Biar di ratakan aja tuh gedung sama Gempa bumi Megatron sekalan sama anggota DPR nya plus wakilnya juga gak papa. Rakyat Indonesia tinggal Nonton aja dari kejauhan. Acc 
@DaryonoBMKG",2025-08-19T19:42:33+00:00,0,0,0.0,0,https://x.com/67fitriaNingsih/status/1957890953588666663,False,[],['@DaryonoBMKG'],2025-08-26 13:38:52
@8_FERRY_8,kopi_IRENG,"Pemerintah 
@prabowo
 sama KOALISI  KIM+ ini memang tengik

RUU PA ditakuti
AMNESTI dan ABOLISI malah di setujui

Low quality 58%,taunya prestasi,padahal cuma drama",2025-08-04T02:57:16+00:00,0,0,0.0,0,https://x.com/8_FERRY_8/status/1952202144494555366,False,[],['@prabowo'],2025-08-26 13:38:52
@931668791683468,sowam,Karena politik di Indonesia masih dijalankan dengan kekotoran maka hasilnya demikian pak.,2025-08-19T01:44:59+00:00,0,0,0.0,0,https://x.com/931668791683468/status/1957619771782074486,False,[],[],2025-08-26 13:38:52
@AIswinarto,a.iswinarto,"[Indonesian Genocide Memorial Day] 14 Oktober 1965 : Pembunuhan Massal Secara Sistimatis Dimulai dari Aceh, dan Berlanjut ke Seluruh Indonesia",2025-08-19T05:30:14+00:00,0,0,0.0,0,https://x.com/AIswinarto/status/1957676458077483201,False,[],[],2025-08-26 13:38:52
@AIswinarto,a.iswinarto,Dari Deklasifikasi Dokumen Rahasia Pemerintah AS: Pengambilalihan Papua Barat oleh Indonesia Tahun 1969 Bukan Atas Dasar 'Pilihan Bebas' …https://19651966perpustakaanonline.wordpress.com/2025/08/01/dari-deklasifikasi-arsip-rahasia-pemerintah-as-pengambilalihan-papua-barat-oleh-indonesia-tahun-1969-bukan-atas-dasar-pilihan-bebas/…,2025-08-19T12:17:22+00:00,0,0,0.0,0,https://x.com/AIswinarto/status/1957778916338548765,False,[],[],2025-08-26 13:38:52
@AIswinarto,a.iswinarto,"Kajian Elizabeth F. Drexler : Infrastructures of Impunity – New Order Violence in Indonesia
simak pula rekaman diskusi Proyek Infrastruktur Impunita RI di Beranda Politik Teater Utan Kayu
…https://19651966perpustakaanonline.wordpress.com/2024/01/27/kajian-elizabeth-f-drexler-infrastructures-of-impunity-new-order-violence-in-indonesia-aceh-indonesia-securing-the-insecure-state-dan-aksi-kamisan-resensi-dan-rekaman-diskusi/…",2025-08-21T10:02:47.000Z,0,0,3.0,111,https://x.com/AIswinarto/status/1958469825245655333,False,[],[],2025-08-26 13:38:52
@AIswinarto,a.iswinarto,"[unduh buku] Militerisme di Indonesia untuk Pemula – Sylvia Tiwon dkk (1999)

…https://19651966perpustakaanonline.wordpress.com/2025/01/31/unduh-buku-politik-militer-dalam-transisi-demokrasi-indonesia-negeri-tentara-membongkar-politik-ekonomi-militer-bisnis-militer-mencari-legitimasi/…",2025-08-26T03:04:20.000Z,0,1,3.0,104,https://x.com/AIswinarto/status/1960176458510561548,False,[],[],2025-08-26 13:47:36
@ANTARAJatim_,ANTARA Jatim,"Sekretaris Kabinet Teddy Indra Wijaya menyatakan peringatan Hari Ulang Tahun (HUT) ke-80 Republik Indonesia menandai perjuangan untuk mencapai kemerdekaan yang lebih luas, yakni terbebas dari kemiskinan, kelaparan, dan penderitaan.",2025-08-17T06:42:14+00:00,0,0,0.0,0,https://x.com/ANTARAJatim_/status/1956969804549726571,False,[],[],2025-08-26 13:38:52
@AanMardoen,aan mardoen,"Betul sekali, kemajuan berjalan optimal ketika ada rasa percaya: rakyat percaya pada kebijakan pemerintah, pemerintah memperhatikan pendapat rakyat. Ini jalan kita bersama mewujudkan Indonesia Unggul 2045!

Kibarkan Semangat Maju",2025-08-19T09:30:05+00:00,0,0,0.0,0,https://x.com/AanMardoen/status/1957736819006538103,False,[],[],2025-08-26 13:38:52
@Aaryatama11,Ααɾყα,"Ga masalah, asal buat undang-undang agar koruptor di Indonesia di hukum maksimal mati bagi pejabat, mininal hukuman 10 tahun tanpa kemungkinan bebas besyarat, ga ada remisi, rampas aset, dan tdk punya hak politik.",2025-08-20T02:06:49+00:00,0,0,0.0,18,https://x.com/Aaryatama11/status/1957987656366977398,False,[],[],2025-08-26 13:38:52
@AbasBalapradana,Abas Sastro,"Tunjangan naik kalo sesuai dgn kinerja sih nggak masalah. Tp fungsi DPR di Indonesia sering nggak ada gunanya. Jauh dibanding wakil rakyat di Swedia yg benar2 kerja unk kepentingan publik. Di sini, bikin UU malah banyak yg merugikan rakyat, tp urusan tunjangan slalu lancar naik.",2025-08-19T09:51:15+00:00,0,0,0.0,0,https://x.com/AbasBalapradana/status/1957742145382805818,False,[],[],2025-08-26 13:38:52
@AbdulRa60750720,Abdul Rahman,"Mungkin sudah saatnya Indonesia dihukum karena kejahatannya sendiri... Sia2 pilpres kok dapatnya presiden yang seperti ini... Curhaaaaat melulu.... Bantai  dulu kek setelah itu barulah conference pers... Ini kok conferensi pers doank, bertindak kagak... 
Suka2 kau sajalah",2025-08-12T23:25:13+00:00,0,0,0.0,0,https://x.com/AbdulRa60750720/status/1955410273176801591,False,[],[],2025-08-26 13:38:52
@AbdulRozakUB,Mas Elon,"Edyan tenan...!
X dipenuhi akun2 baru penyebar hoax dan fitnah masif ke pemerintah. Dari serangan langsung juga serangan ke bagian keuangan. Bener2 tidak mudah menjadi negara maju. 
Sadarlah,cuk..! Kita sedang di adu. Mereka tdk rela Indonesia maju",2025-08-19T21:39:44+00:00,0,0,0.0,0,https://x.com/AbdulRozakUB/status/1957920440619528350,False,[],[],2025-08-26 13:38:52
@Abu_shahib16,arrijal,"Hakikat politik adalah MENDAYAGUNAKAN POTENSI KECERDASAN UNTUK MEMAKMURKAN RAKYAT DAN MEMAJUKAN NEGARA 
Kebanyakan tokoh2 politik di Indonesia tidak paham hakikat politik diatas, mereka hanya melakukan TIPU MUSLIHAT utk memperkaya diri dan segelintir kelompoknya bertopeng politik",2025-08-19T21:09:02+00:00,0,0,2.0,163,https://x.com/Abu_shahib16/status/1957912714422218846,False,[],[],2025-08-26 13:38:52
@Achonk_Amr2,Achonk_,"Di Indonesia ga bakalan itu ada pelarangan.
Ini malah jadi bahan komoditas hasut menghasut politik oleh buzzerRp geng solo macem 
@PartaiSocmed
 @kangdede78",2025-08-21T16:50:34.000Z,0,0,0.0,23,https://x.com/Achonk_Amr2/status/1958572448539910182,False,[],"['@PartaiSocmed', '@kangdede78']",2025-08-26 13:38:52
@AdeKikiSumarna1,Ade Kiki Sumarna,"Yaa kalau gitu bukan nyerah tapi emang gak niat aja ngurus sepakbola Indonesia
Cuma jadiin sepakbola (timnas) buat kendaraan politik aja",2025-08-21T12:04:47.000Z,0,0,0.0,61,https://x.com/AdeKikiSumarna1/status/1958500526082986262,False,[],[],2025-08-26 13:38:52
@AfArdenata,adn_,"Apakah ini saatnya bertindak

#dpr #DPR #DPR #indonesia",2025-08-19T07:52:28+00:00,0,0,0.0,0,https://x.com/AfArdenata/status/1957712251764494762,False,"['#dpr', '#DPR', '#DPR', '#indonesia']",[],2025-08-26 13:38:52
@Afir24,.,"Kalau pemerintah Indonesia mengabulkan keinginan Israhell dan antek2nya maka semoga presiden, kabinet, dan pemerintahan negeri ini mendapatkan laknat dari Allah SWT",2025-08-15T06:17:55+00:00,0,0,0.0,0,https://x.com/Afir24/status/1956238908121080185,False,[],[],2025-08-26 13:38:52
@AgniParasthra,BrokenHeartedDemon,"Mau gaji anggota dpr 100jt sehari pun rakyatnya tetap ikhlas dan semangat nyoblos mereka² ini tiap 5th sekali. Ud tau cuma ditipu tikus berdasi, tp tetap setia memperkaya mereka.

Nasib rakyat Indonesia tdk akan berubah sampai rakyat berani bergerak besar²an (tp tanpa kekerasan)",2025-08-19T09:14:44+00:00,0,0,0.0,0,https://x.com/AgniParasthra/status/1957732956296081414,False,[],[],2025-08-26 13:38:52
@AgusTarma267895,Frofesor.Drs.IR.Agustarma.ar.M.Si.INK.Profesorer.,Negara Indonesia melarang ada nya partai Oposisi berdiri di Negara Indonesia. Todak produktif. Saya pilih politik praktis !! Saya dukung partai Duit.,2025-08-04T12:38:32+00:00,0,0,0.0,0,https://x.com/AgusTarma267895/status/1952348426215227586,False,[],[],2025-08-26 13:38:52
@AgusTarma267895,Frofesor.Drs.IR.Agustarma.ar.M.Si.INK.Profesorer.,"PARTAI BURUH INDONESIA. 
1. BAYAR KANTOR PBB OJK PAJAK.
2. PAJAK KENDARAAN KENEGARAAN OJK PAJAK BAYAR KANTOR OJK PAJAK HUKUM OJK PAJAK TERHUTANG SESUAI ATURAN HUKUM DI KUASAKAN KANTOR OBLIGH OJK PAJAK SESUAI PEMERINTAHAN SEKARANG OJK PAJAK LUNAS DI PEMERINTAH OLEH OJK KANTOR PAJK",2025-08-19T14:11:48+00:00,0,0,0.0,0,https://x.com/AgusTarma267895/status/1957807715222450557,False,[],[],2025-08-26 13:38:52
@AgusTarma267895,Frofesor.Drs.IR.Agustarma.ar.M.Si.INK.Profesorer.,"Berita selanjutnya mengenai.
Politik kelas atap. Bank Indonesia dari jaman era .. sudah di kuasai oleh birokrat kelas Istana kepresidenan. Jadi negara kita selalu di karantina oleh orang no. 1 indonesia. Semua akses di kopy hingga rusak semua. Tidak hanya itu semua rusak.",2025-08-22T02:01:50.000Z,0,0,0.0,25,https://x.com/AgusTarma267895/status/1958711176948588552,False,[],[],2025-08-22 15:46:08
@AgusTarma267895,Frofesor.Drs.IR.Agustarma.ar.M.Si.INK.Profesorer.,James bond  007. 08 Bersama partai mari membangun indonesia yg maju bersih bebas intimidasi bebas king politik bebas kebebasan kinerja.,2025-08-26T04:23:28.000Z,0,0,0.0,12,https://x.com/AgusTarma267895/status/1960196373204373953,False,[],[],2025-08-27 09:22:25
@AgusTarma267895,Frofesor.Drs.IR.Agustarma.ar.M.Si.INK.Profesorer.,"Partai Buruh.
Kuch .. kuch hotahey mengiringi lantunan musik ke partaian kita buat bersenang - senang mengumandang di Nusantara Indonesia Raya. Mendemokrasi politik bersama - sama.",2025-08-26T14:05:42.000Z,0,0,0.0,14,https://x.com/AgusTarma267895/status/1960342897578119346,False,[],[],2025-08-27 09:21:50
@AgusTarma267895,Frofesor.Drs.IR.Agustarma.ar.M.Si.INK.Profesorer.,PARTAI BURUH. INDONESIA. SEMUA PT. TERMASUK PERUSAHAAN SPONSOR SHIP BAGI KE NEGARA REPUBLIK INDONESIA RAYA. PARTAI BURUH KINI MENGGALANG USAHA PELAKU PENGUSAHA AGAR TERUS BEKERJA MENGHASILKAN POLEUSI POLITIK BRICKS. TAPI MENURUT TIDAKNYA SAYA ITU DEPUTY DIR.,2025-08-26T16:41:48.000Z,0,0,0.0,19,https://x.com/AgusTarma267895/status/1960382181810766008,False,[],[],2025-08-27 09:21:46
@Ahmadway21,Ahmadwahyono,"Ini kabinet Merah Putih apa kabine halu ya? Dari mulai yang paling atas sampai pembantu2 nya halu kabeh, angka kemiskinan turun, angka pengangguran turun,padahal aktual nya ? PARADOKS INDONESIA",2025-08-19T11:52:15+00:00,0,0,0.0,0,https://x.com/Ahmadway21/status/1957772597652857307,False,[],[],2025-08-26 13:38:52
@Airam535,Tea is my jam~~~,"Sama ya dimana2 tuh.

Power and greed
Ketika di atas, semua bisa dilakuin, semua bisa dihindari. Gada yg ditakuti.
Makanya yg di atas pasti berusaha keras supaya dinasti politik nya dan kroco2nya yg duduk di lahan emas selanjutnya.",2025-08-13T04:38:25+00:00,0,0,0.0,0,https://x.com/Airam535/status/1955489092264923448,False,[],[],2025-08-26 13:38:52
@AkalPenjaga,Penjaga Akal,"Secara tata negara ya memang sistem presidensial gak mengenal oposisi om wkwkw, lebih asyik indonesia ganti parlementer aja sih biar jelas gak abu-abu kyk skrg",2025-08-07T02:00:29+00:00,0,0,0.0,0,https://x.com/AkalPenjaga/status/1953275018361835940,False,[],[],2025-08-26 13:38:52
@AkasiaUsman,Usman Akasia,"Nah inilah NEGARA REPUBLIK INDONESIA yang Tidak Pernah Mau Maju Bangsanya. Jadi yang BAJINGAAAN, DUNGUUU,GUOBLOOOK ,TOLOOOL,itu Siapa Ya? Pemerintah apa Rakyat? Pak Presiden 
@prabowo
 @DPR_RI",2025-08-19T08:20:34+00:00,0,0,0.0,0,https://x.com/AkasiaUsman/status/1957719325877354535,False,[],"['@prabowo', '@DPR_RI']",2025-08-26 13:38:52
@AkuanBudiman,Budiman Akuan,",, INDONESIA DARURAT HUKUM,, SUDAH SAATNYA PRABOWO BONGKAR HABIS PENJILAT JOKOWI DI KABINET MERAH PUTIH, TERMASUK LEMBAGA STRATEGIS SEPERTI, BUMN KOMISI KOMISI BENTUKAN NEGARA LAINNYA.",2025-08-15T00:08:55+00:00,0,0,0.0,0,https://x.com/AkuanBudiman/status/1956146047442694234,False,[],[],2025-08-26 13:38:52
@AkunMboizSam,MboizSamKyuu~,"suharto i wes ketok lek cindo
opoo wong cino dilarang berpolitik dan ""dibuang"" di bagian ekonomi bisnis?
biar rakyat pribumi berebut kekuasaan politik, cino menguasai ekonomi indo, 35th lihatlah sekarang yg kaya n penguasa ekonomi indo siapa?!
rakyat pribumi indonesia… kere…",2025-08-19T08:38:05+00:00,0,0,0.0,0,https://x.com/AkunMboizSam/status/1957723735684964705,False,[],[],2025-08-26 13:38:52
@AldiFahrezy19,Pernah dituduh ateis,"problemnya dalam perjalanan politik di indonesia, peniadaan oposisi sering menjadi jembatan menuju upaya monopoli kekuasaan.",2025-08-05T10:58:20+00:00,0,0,0.0,0,https://x.com/AldiFahrezy19/status/1952685598885716113,False,[],[],2025-08-26 13:38:52
@Alfatih12674,NourisH,Jangan Pake Narasi Buka Peluang??!! Anda ini Plin Plan?! Periksa.. Bidik... Jebloskan?! ?! Gak usah pake lama?! Nanti keburu sama rencana penurunan tahta?! Udah tau Dinasti OSLO sedang konsolidasi politik dengan berbagai Daerah di indonesia?! Jangan sampe lambat?!,2025-08-12T10:37:40+00:00,0,0,0.0,0,https://x.com/Alfatih12674/status/1955217112089366556,False,[],[],2025-08-26 13:38:52
@Alfatih12674,NourisH,Disintegrasi bangsa diambang pintu.. Syahwat Politik dinasti oslo itu besar boss??!!,2025-08-12T13:09:01+00:00,0,0,0.0,0,https://x.com/Alfatih12674/status/1955255200169570619,False,[],[],2025-08-26 13:38:52
@Alhamdulillahm7,Alhamdulilla pernah nolak,"rakyat Indonesia udah gak ada kemudinya apa apa suruh nyelesain sendiri dan negara hanya tahu cara mengumpulkan uang dari masyarakat negara hanya takut pada haters dan bendera ,masyarakat jadi oposisi sendiri .penguasa udah ngumpul dalam satu kolam",2025-08-06T07:03:51+00:00,0,0,0.0,0,https://x.com/Alhamdulillahm7/status/1952988975553261771,False,[],[],2025-08-26 13:38:52
@Alphaenglish24,Alpha English Club,"Fun English Fact:
Kata “colonialism” dan “imperialism” sering tertukar!

 Colonialism = penjajahan langsung (mendirikan koloni)

 Imperialism = dominasi politik/ekonomi suatu bangsa

 “Indonesia fought against colonialism for centuries.”",2025-08-26T06:29:53.000Z,0,0,0.0,19,https://x.com/Alphaenglish24/status/1960228187671249243,False,[],[],2025-08-27 09:22:17
@AmalaNovi,amala #JUMP,"Sama aja, AHY juga tidak berpengalaman dalam memimpin daerah. Sama"" Dinasti politik. Jadi gak ada pilihan.",2025-08-10T09:52:27+00:00,0,0,0.0,0,https://x.com/AmalaNovi/status/1954480959082106930,False,[],[],2025-08-26 13:38:52
@Amri_Opinion,Amri_opinion,"Satu Ternak Hinanto lagi, dengan nama asli ""PANTATNO"" membantu memuluskan langkah Hinanto terkutuk masuk ke gelanggang politik Indonesia, dan sepak terjangnya membuat keruh dunia politik.",2025-08-22T07:39:13.000Z,0,0,0.0,6,https://x.com/Amri_Opinion/status/1958796082982564190,False,[],[],2025-08-22 15:45:45
@Amrizaldy511,"AMRI,stand with PALESTINE ,","Para pendukung pak 
@aniesbaswedan
  juga harus bergrilia untuk memajukan pilpres 2029 nanti, semoga pak 
@aniesbaswedan
  bisa membuat baik perekonomian seluruh rakyat indonesia,",2025-08-11T08:33:16+00:00,0,0,0.0,0,https://x.com/Amrizaldy511/status/1954823418983137410,False,[],"['@aniesbaswedan', '@aniesbaswedan']",2025-08-26 13:38:52
@AnRohmat_88,Anas rohmat,"Isu pemakzulan yang dihembuskan pihak kalah pilpres pupus sudah, PRABOWO GIBRAN menatap masa depan bersama untuk #KerukunanBangsa dan persatuan Indonesia.",2025-08-11T01:41:48+00:00,0,0,0.0,0,https://x.com/AnRohmat_88/status/1954719867992698931,False,['#KerukunanBangsa'],[],2025-08-26 13:38:52
@Andra89996910,Hendrick,"Semoga arah kebijakan, prioritas pembangunan, serta visi besar Indonesia ke depan adalah benar benar baru  bukan merupakan kelanjutan dari rejim sebelumnya,  mengingat tokoh-tokoh kunci kabinet rejim jokowi  masih menduduki posisi strategis di rejim dan kabinet Prabowo saat ini.",2025-08-15T00:15:21+00:00,0,0,0.0,0,https://x.com/Andra89996910/status/1956147666309742801,False,[],[],2025-08-26 13:38:52
@AnggonoPTR,Anggono Putro,"Kok pandir....sikap ente bukannya kayak PKS di jaman Demokrat berkuasa dulu bang?, ikut koalisi tapi menyerang pemerintah....coba dulu gimana rasanya di gituin sama PKS, telling me the truth jangan ngarang ya",2025-07-28T06:27:16+00:00,0,0,0.0,0,https://x.com/AnggonoPTR/status/1949718281528414463,False,[],[],2025-08-26 13:38:52
@AnggonoPTR,Anggono Putro,Prabowo mengajak Gibran maju bersama di Pilpres. Sebuah ajakan yang akhirnya mengubah sejarah politik Indonesia.,2025-08-13T04:25:26+00:00,0,0,0.0,0,https://x.com/AnggonoPTR/status/1955485824424051106,False,[],[],2025-08-26 13:38:52
@AnnSalazar123,Ann Salazar,"tidak bukan dan tidak lain, menjelang pemilu 2024 tahun kmrin bawaslu temukan ribuan akun buzzer jelang kampanye yuk tertib #SatuOrangSatuAkun Keamanan Digital Indonesia smga semakin meningkat",2025-08-11T02:56:00+00:00,0,0,0.0,0,https://x.com/AnnSalazar123/status/1954738544641204484,False,['#SatuOrangSatuAkun'],[],2025-08-26 13:38:52
@Ans37035,Anss,"Memang kebijakan tersebut ga make sense. Di tengah ekonomi dunia yang lesu, harusnya dikuatkan dulu pondasi keuangan Indonesia. Tetapi dari awal malah membuat kabinet jumbo, proyek MBG dll tanpa benar-benar memperhitungkan kemampuan fiskal",2025-08-15T06:25:52+00:00,0,0,0.0,0,https://x.com/Ans37035/status/1956240910104322511,False,[],[],2025-08-26 13:38:52
@AntaresDaffa,Buruh BerLanyard,"https://theconversation.com/cek-fakta-benarkah-sistem-presidensial-indonesia-tidak-mengenal-partai-koalisi-dan-oposisi-232904…

Boleh dibaca bu ketum sipa tau tercerahkan",2025-08-14T15:17:38+00:00,0,0,0.0,0,https://x.com/AntaresDaffa/status/1956012345542762745,False,[],[],2025-08-26 13:38:52
@AntiMukidi,Anti Mukidi,"Tanda kehancuran dinasti bajungan tolol jokowi:
1. Kasus ijazah palsu
2. Antek-anteknya mulai dipenjara 1/1 mulai dr silfester
3. Pemakzulan anak haram konstitusi gibran
4. Amnesti hasto dan abolisi tom lembong
Jokowi sdh tdk memiliki kekuatan politik dgn kedunguannya.",2025-08-06T23:58:29+00:00,0,0,0.0,0,https://x.com/AntiMukidi/status/1953244319386828865,False,[],[],2025-08-26 13:38:52
@Ap48589Apol,Apol Darmawan,"https://x.com/kompascom/status/1956691164490355040?t=43roBHSu7fDpZ_Dgzh5VMQ&s=19… Kabinet Indonesia Ke-1 tak ada DepAg, setelah Kudeta Maklumat Wakil Presiden no X dibentuk DepAgama (Islam), 80 th APBN dirampok biayai Negara Islam dlm NKRI (Duplikasi Pendidikan, KUA dll) Bersatu BUBARKAN KemAg, biar N.Umar jadi MenAg terakhir,  
@DPR_RI",2025-08-17T06:51:26+00:00,0,0,0.0,0,https://x.com/Ap48589Apol/status/1956972116990960060,False,[],['@DPR_RI'],2025-08-26 13:38:52
@ApriliaLin,Aprilia,"Pernah jadi rebutan para capres di pemilu 2024.
Dan akan menjadi pemimpin masa depan Indonesia.",2025-05-20T06:13:55+00:00,0,0,0.0,0,https://x.com/ApriliaLin/status/1924710158032351376,False,[],[],2025-08-26 13:38:52
@Ari3Pras,Ari3Pras,"Manfaat Politik Dinasti & Nepotisme bagi seluruh rakyat Indonesia 

.",2025-08-19T01:00:47.000Z,0,1,5.0,183,https://x.com/Ari3Pras/status/1957608649792376905,False,[],[],2025-08-22 15:57:29
@AriYudoyono,𝖄𝖚𝖉𝖔𝖞𝖔𝖓𝖔𝖆𝖗𝖎,"Banyakan mana sih jumlah seluruh aparat pemerintah dengan jumlah rakyat Indonesia ??, bersatu kita tegau bercerai kita runtuh......hukum rimba berkaku",2025-08-19T09:54:54+00:00,0,0,0.0,0,https://x.com/AriYudoyono/status/1957743064048627731,False,[],[],2025-08-26 13:38:52
@ArieMulk,Arie Mulk,Dia itu akan membusukkan indonesia dari dalam kabinet.,2025-08-14T13:40:10+00:00,0,0,0.0,0,https://x.com/ArieMulk/status/1955987814358901131,False,[],[],2025-08-26 13:38:52
@ArifaNidya,Arifa Nidya,"PROGRAM PEMERIKSAAN KESEHATAN GRATIS mengumumkan bahwa program Pemeriksaan Kesehatan Gratis (PKG) Keputusan ini merupakan langkah konkret dari Kabinet Merah Putih dalam meningkatkan kualitas layanan kesehatan bagi seluruh masyarakat Indonesia, tanpa terkecuali.
#ProgramKesehatan",2025-08-17T14:52:58+00:00,0,0,0.0,0,https://x.com/ArifaNidya/status/1957093301133402352,False,['#ProgramKesehatan'],[],2025-08-26 13:38:52
@Arifinnugkam,Arifinnugrahajana,"Iya benar, membangun negeri butuh kepercayaan. Masyarakat yakin pemerintah adil, negara dengar suara rakyat. Bersama kita capai Indonesia Emas 2045.
 Kibarkan Semangat Maju",2025-08-19T09:37:22+00:00,0,0,0.0,0,https://x.com/Arifinnugkam/status/1957738650881696200,False,[],[],2025-08-26 13:38:52
@ArnetWINsablenK,Arnetz Sablenk,Indonesia gag ada oposisi,2025-08-16T13:22:58+00:00,0,0,0.0,0,https://x.com/ArnetWINsablenK/status/1956708261920395558,False,[],[],2025-08-26 13:38:52
@ArnetWINsablenK,Arnetz Sablenk,"Karena sebenarnya Indonesia gag ada oposisi,,,",2025-08-16T13:23:31+00:00,0,0,0.0,0,https://x.com/ArnetWINsablenK/status/1956708402157252989,False,[],[],2025-08-26 13:38:52
@ArtaN7707,Artanabil,"4. Kalo gibran gak dimakzulkan 2025, maka kemungkinannya:
1. Kalo Pak Prabowo berhalangan tetap, gibran yg gantikan. Bahaya.
2. 2029 gibran akan ikut pilpres dan curang.
3. Anak muda Indonesia tidak punya masa depan cc 
@DPR_RI
 @_bemsi
#KejarSilfesterJokowiKutangkap",2025-08-07T18:52:15+00:00,0,0,0.0,0,https://x.com/ArtaN7707/status/1953529638283882849,False,['#KejarSilfesterJokowiKutangkap'],"['@DPR_RI', '@_bemsi']",2025-08-26 13:38:52
@ArtaN7707,Artanabil,"""Konoha adalah satu-satunya negara yang membodohi dan memiskinkan rakyatnya. 

Rakyat dikasih BLT untuk kepentingan dinasti politik."" (Bunda Corla)

#BatalkanIKNJakartaIbuKota
#BatalkanIKNJakartaIbuKota",2025-08-14T18:39:43.000Z,0,0,1.0,275,https://x.com/ArtaN7707/status/1956063200992223567,False,"['#BatalkanIKNJakartaIbuKota', '#BatalkanIKNJakartaIbuKota']",[],2025-08-22 15:57:50
